"","GID","Lat","Long","SiteCode","ToBufDist","DateDeployed","DateCollected","TrapStatus","FemaleAeaeg","MaleAeaeg","FemalesTested","FemaleAeaeg2","Female_wMel","Female_wMelPop","MalesTested","MaleAeaeg2","Male_wMel","Male_wMelPop","DayDeployed","DayCollected","DaysActive"
"130",900029,-16.91801,145.76245,"PP44",0,2013-01-22,2013-01-29,TRUE,3,8,3,3,0,0,8,8,2,0,21,28,7
"131",21693,-16.91975,145.76381,"PP27",0,2013-01-22,2013-01-29,TRUE,8,5,9,9,3,0,5,5,1,0,21,28,7
"132",26687,-16.92112,145.76051,"PP12",0,2013-01-22,2013-01-29,TRUE,59,86,59,59,17,0,86,86,16,0,21,28,7
"133",626,-16.92237,145.7633,"PP07",0,2013-01-22,2013-01-29,TRUE,10,8,10,10,2,0,8,8,2,0,21,28,7
"134",6511,-16.92036,145.76231,"PP14",0,2013-01-22,2013-01-29,TRUE,19,24,19,19,1,0,24,24,1,0,21,28,7
"135",67089,-16.91863,145.76443,"PP26",0,2013-01-22,2013-01-29,TRUE,14,7,14,14,9,0,7,7,5,0,21,28,7
"136",23970,-16.9205,145.7664,"PP01",0,2013-01-22,2013-01-29,TRUE,42,26,42,42,24,0,26,26,9,0,21,28,7
"137",13424,-16.91982,145.7657,"PP02",0,2013-01-22,2013-01-29,TRUE,15,2,15,15,8,0,2,2,2,0,21,28,7
"138",36629,-16.92062,145.76477,"PP03",0,2013-01-22,2013-01-29,TRUE,1,0,1,1,1,0,NA,NA,NA,NA,21,28,7
"139",26646,-16.92096,145.76434,"PP04",0,2013-01-22,2013-01-29,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,21,28,7
"140",651,-16.92109,145.76342,"PP06",0,2013-01-22,2013-01-29,TRUE,2,2,2,2,1,0,2,2,1,0,21,28,7
"141",619,-16.92303,145.76327,"PP08",0,2013-01-22,2013-01-29,TRUE,9,10,9,9,2,0,10,10,1,0,21,28,7
"142",602,-16.92344,145.76225,"PP09",0,2013-01-22,2013-01-29,TRUE,6,5,6,6,3,0,5,5,2,0,21,28,7
"143",573,-16.92339,145.76163,"PP10",0,2013-01-22,2013-01-29,TRUE,8,6,8,8,0,0,6,6,2,0,21,28,7
"144",23463,-16.91717,145.76106,"PP11-1",0,2013-01-22,2013-01-29,TRUE,8,0,8,8,3,0,NA,NA,NA,NA,21,28,7
"145",450,-16.91655,145.75955,"PP23",0,2013-01-22,2013-01-29,TRUE,8,1,8,8,4,0,1,1,1,0,21,28,7
"146",22950,-16.91897,145.76313,"PP25",0,2013-01-22,2013-01-29,TRUE,15,5,15,15,7,0,5,5,0,0,21,28,7
"147",643,-16.92186,145.76408,"PP05",0,2013-01-22,2013-01-29,TRUE,15,15,15,15,7,0,15,15,2,0,21,28,7
"148",47457,-16.91626,145.76032,"PP24",0,2013-01-22,2013-01-29,TRUE,5,2,8,8,6,0,2,2,2,0,21,28,7
"149",12036,-16.92137,145.76194,"PP13",0,2013-01-22,2013-01-29,TRUE,10,5,10,10,3,0,5,5,2,0,21,28,7
"150",427,-16.91646,145.75903,"PP22",0,2013-01-22,2013-01-29,TRUE,4,3,4,4,1,0,3,3,0,0,21,28,7
"151",35627,-16.91646,145.75845,"PP21",0,2013-01-22,2013-01-29,TRUE,8,5,8,8,3,0,5,5,2,0,21,28,7
"152",435,-16.91749,145.75932,"PP20-1",0,2013-01-22,2013-01-29,TRUE,19,4,19,19,5,0,4,4,1,0,21,28,7
"153",507,-16.91866,145.75994,"PP19",0,2013-01-22,2013-01-29,TRUE,10,5,10,10,4,0,5,5,1,0,21,28,7
"154",494,-16.91929,145.76012,"PP18",0,2013-01-22,2013-01-29,TRUE,17,23,17,17,2,0,23,23,9,0,21,28,7
"155",478,-16.91868,145.76137,"PP17",0,2013-01-22,2013-01-29,TRUE,5,0,5,5,0,0,NA,NA,NA,NA,21,28,7
"156",35611,-16.92006,145.76126,"PP16",0,2013-01-22,2013-01-29,TRUE,3,4,3,3,2,0,4,4,4,0,21,28,7
"157",44074,-16.92359,145.76091,"PP15-1",0,2013-01-22,2013-01-29,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,21,28,7
"158",55377,-16.91715,145.76301,"PP28",0,2013-01-29,2013-02-05,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,28,35,7
"159",623,-16.92215,145.76311,"PP31",0,2013-01-29,2013-02-05,TRUE,10,6,10,10,1,0,6,6,1,0,28,35,7
"160",21693,-16.91975,145.76381,"PP27",0,2013-01-29,2013-02-05,TRUE,8,3,8,8,2,0,3,3,2,0,28,35,7
"161",53343,-16.91735,145.76202,"PP29",0,2013-01-29,2013-02-05,TRUE,20,17,20,20,7,0,17,17,6,0,28,35,7
"162",47501,-16.91546,145.76033,"PP30",0,2013-01-29,2013-02-05,TRUE,18,5,18,18,4,0,5,5,1,0,28,35,7
"163",900029,-16.91801,145.76245,"PP44",0,2013-01-29,2013-02-05,TRUE,19,10,18,18,3,0,10,10,2,0,28,35,7
"164",47457,-16.91626,145.76032,"PP24",0,2013-01-29,2013-02-05,TRUE,13,4,13,13,11,0,4,4,4,0,28,35,7
"165",23970,-16.9205,145.7664,"PP01",0,2013-01-29,2013-02-05,TRUE,58,27,58,58,9,0,27,27,7,0,28,35,7
